Environment,Account,invoice_date,Description,region,Product Name,vendor,Service Name,Usage Type,Team,Sub-Team,Cost Before Uplifts ($)
prod,67090511,01/11/2023,Cloud Speech-to-Text Audio Length Standard,(not set),,GCP,GCP Cloud Speech Api,,Global United Kingdon,The Ledger League,20.85
dev,34909342,01/11/2023,Managed Notebooks Disk for GCE usage - Standard Persistent Disk in asia-east2,asia-east2,,GCP,GCP Notebooks,,United America,Dr Drepreciation,
dev,70359576,01/11/2023,Number of 'general' type pages processed,(not set),,GCP,GCP Cloud Document Ai Api,,AE Tech,Yield Syndicate,35.18
dev,50666767,01/11/2023,Notebooks CPU Management Fee,europe-west2-a,,GCP,GCP Notebooks,,United America,Wu-Tang Clan of Cash Flow,
dev,67090511,01/11/2023,Syntax Analysis Operations,(not set),,GCP,GCP Cloud Natural Language,,Global United Kingdon,The Ledger League,
dev,60611044,01/11/2023,Managed Notebooks CPU Management Fee,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,67090511,01/11/2023,Content Classification Operations,(not set),,GCP,GCP Cloud Natural Language,,Global United Kingdon,The Ledger League,
dev,60611044,01/11/2023,Managed Notebooks CPU for GCE usage - N1 Standard Cores in europe-west1,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,67090511,01/11/2023,Entity Sentiment Analysis Operations,(not set),,GCP,GCP Cloud Natural Language,,Global United Kingdon,The Ledger League,
dev,82970199,01/11/2023,Number of hours a processor version has been deployed.,(not set),,GCP,GCP Cloud Document Ai Api,,Global United Kingdon,The Ledger League,52.36
prod,67090511,01/11/2023,Text Detection Operations,us-east1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,53.28
dev,71794275,01/11/2023,Entity Analysis Operations,(not set),,GCP,GCP Cloud Natural Language,,TE Tech,Risk Regulators,
prod,67090511,01/11/2023,Number of pages processed for OCR processor.,europe-west2,,GCP,GCP Cloud Document Ai Api,,Global United Kingdon,The Ledger League,60.49
dev,60213466,01/11/2023,Managed Notebooks CPU Management Fee,us-central1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
prod,67090511,01/11/2023,Image Properties Operations,us-east1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,73.62
dev,56982163,01/11/2023,Number of hours a processor version has been deployed.,(not set),,GCP,GCP Cloud Document Ai Api,,Treasury,Treasury Foundation,80.09
dev,60611044,01/11/2023,Managed Notebooks CPU for GCE usage - N1 Highmem Cores in europe-west1,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,72112887,01/11/2023,Number of hours a processor version has been deployed.,(not set),,GCP,GCP Cloud Document Ai Api,,TE Tech,The Forecast Foundary,94.2
dev,71794275,01/11/2023,Document Text Detection Operations,us-west1,,GCP,GCP Cloud Vision Api,,TE Tech,Risk Regulators,112.68
dev,50666767,01/11/2023,Notebooks CPU Management Fee,europe-west2-b,,GCP,GCP Notebooks,,United America,Wu-Tang Clan of Cash Flow,
prod,67090511,01/11/2023,Image Properties Operations,europe-north1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,115.88
prod,38760834,01/11/2023,Document Text Detection Operations,europe-west1,,GCP,GCP Cloud Vision Api,,United America,The Budgeters,126.57
dev,45812120,01/11/2023,Vertex AI: Training/Pipelines on N1 Predefined Instance Core running in London,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,149.96
dev,41603388,01/11/2023,Vertex AI: Training/Pipelines on N1 Predefined Instance Core running in London,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,154.71
dev,48347781,01/11/2023,Vertex AI: Training/Pipelines on N1 Predefined Instance Core running in London,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,175.2
dev,87305096,01/11/2023,Vertex AI: Training/Pipelines on N1 Predefined Instance Core running in London,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,177.63
dev,60213466,01/11/2023,Managed Notebooks Disk for GCE usage - Standard Persistent Disk in us-central1,us-central1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,60611044,01/11/2023,Managed Notebooks GPU Standard Management Fee,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,56982163,01/11/2023,Document Text Detection Operations,us-west1,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,199.78
dev,60611044,01/11/2023,Managed Notebooks GPU for GCE usage - T4 in europe-west1,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,87305096,01/11/2023,Notebooks CPU Management Fee,europe-west2-b,,GCP,GCP Notebooks,,TE Tech,Risk Regulators,
dev,45812120,01/11/2023,Notebooks CPU Management Fee,europe-west2-a,,GCP,GCP Notebooks,,TE Tech,Risk Regulators,
prod,67090511,01/11/2023,Object Localization Operations,asia-east1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,232.2
dev,87305096,01/11/2023,Vertex AI: Training/Pipelines on N1 Predefined Instance Core running in London,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,257
dev,60611044,01/11/2023,Managed Notebooks Disk for GCE usage - Standard Persistent Disk in europe-west1,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,50666767,01/11/2023,Notebooks GPU Premium Management Fee,europe-west1-b,,GCP,GCP Notebooks,,United America,Wu-Tang Clan of Cash Flow,
prod,38760834,01/11/2023,Document Text Detection Operations,europe-north1,,GCP,GCP Cloud Vision Api,,United America,The Budgeters,278.37
dev,45812120,01/11/2023,Vertex AI: Training/Pipelines on N1 Predefined Instance Core running in London,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,283.41
dev,45812120,01/11/2023,Vertex AI: Training/Pipelines on N1 Predefined Instance Core running in London,us-central1,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,304.78
dev,72789061,01/11/2023,Document Text Detection Operations,us-east1,,GCP,GCP Cloud Vision Api,,United America,Bank Tank,309.11
dev,63014216,01/11/2023,Workbench Instances Storage for GCE usage - Balanced Persistent Disk in asia-east2,asia-east2,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
prod,60611044,01/11/2023,Managed Notebooks CPU Management Fee,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,71682866,01/11/2023,Notebooks CPU Management Fee,europe-west2-a,,GCP,GCP Notebooks,,TE Tech,Risk Regulators,
prod,67090511,01/11/2023,Text Detection Operations,europe-north1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,333.89
dev,71794275,01/11/2023,Document Text Detection Operations,asia-east1,,GCP,GCP Cloud Vision Api,,TE Tech,Risk Regulators,345.75
prod,67090511,01/11/2023,Text Detection Operations,europe-west1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,349.07
prod,67090511,01/11/2023,Object Localization Operations,us-central2,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,354.39
prod,72540413,01/11/2023,Notebooks CPU Management Fee,europe-west2-b,,GCP,GCP Notebooks,,TE Tech,Risk Regulators,
dev,38760834,01/11/2023,Document Text Detection Operations,europe-west1,,GCP,GCP Cloud Vision Api,,United America,The Budgeters,368.57
dev,34909342,01/11/2023,Managed Notebooks CPU Management Fee,asia-east2,,GCP,GCP Notebooks,,United America,Dr Drepreciation,
dev,12273010,01/11/2023,Vertex AI: Training/Pipelines on E2 Instance Ram running in London,asia-southeast1,,GCP,GCP Vertex Ai,,Global United Kingdon,Straight Outta Accounts,378.94
dev,50666767,01/11/2023,Notebooks CPU Management Fee,europe-west1-b,,GCP,GCP Notebooks,,United America,Wu-Tang Clan of Cash Flow,
dev,92465056,01/11/2023,Managed Notebooks Disk for GCE usage - Standard Persistent Disk in asia-east2,asia-east2,,GCP,GCP Notebooks,,United America,Fear the Fiscal,
dev,60213466,01/11/2023,Managed Notebooks CPU for GCE usage - N1 Standard Cores in us-central1,us-central1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,87305096,01/11/2023,Notebooks CPU Management Fee,europe-west2-a,,GCP,GCP Notebooks,,TE Tech,Risk Regulators,
dev,34909342,01/11/2023,Managed Notebooks CPU for GCE usage - N1 Standard Cores in asia-east2,asia-east2,,GCP,GCP Notebooks,,United America,Dr Drepreciation,
prod,60611044,01/11/2023,Managed Notebooks CPU for GCE usage - N1 Standard Cores in europe-west1,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
dev,71794275,01/11/2023,Document Text Detection Operations,us-central2,,GCP,GCP Cloud Vision Api,,TE Tech,Risk Regulators,441.14
dev,59992092,01/11/2023,Document Text Detection Operations,asia-southeast1,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,443.26
prod,60611044,01/11/2023,Managed Notebooks Disk for GCE usage - Standard Persistent Disk in europe-west1,europe-west1,,GCP,GCP Notebooks,,Global United Kingdon,The Ledger League,
prod,67090511,01/11/2023,Web Detection Operations,europe-west4,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,476.85
prod,67090511,01/11/2023,Image Properties Operations,europe-west4,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,480.1
prod,67090511,01/11/2023,Document Text Detection Operations,us-central2,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,480.92
dev,72789061,01/11/2023,Document Text Detection Operations,europe-north1,,GCP,GCP Cloud Vision Api,,United America,Bank Tank,481.06
dev,41603388,01/11/2023,Vertex AI: Training/Pipelines on E2 Instance Ram running in London,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,493.03
dev,41603388,01/11/2023,Vertex AI: Training/Pipelines on E2 Instance Ram running in London,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,517.64
prod,11993525,01/11/2023,Vertex AI: Training/Pipelines on E2 Instance Ram running in London,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,557.14
dev,56982163,01/11/2023,Document Text Detection Operations,asia-east1,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,570.83
dev,63014216,01/11/2023,Vertex AI: Training/Pipelines on E2 Instance Ram running in London,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,570.86
dev,63014216,01/11/2023,Vertex AI: Training/Pipelines on E2 Instance Ram running in London,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,618.45
dev,60611044,01/11/2023,Vertex AI: AutoML Structured Data Model Training,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,620.77
prod,11993525,01/11/2023,Vertex AI: AutoML Structured Data Model Training,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,635.47
prod,38760834,01/11/2023,Document Text Detection Operations,europe-west4,,GCP,GCP Cloud Vision Api,,United America,The Budgeters,640.55
prod,67090511,01/11/2023,Document Text Detection Operations,us-east1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,663.8
dev,59992092,01/11/2023,Document Text Detection Operations,asia-east1,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,666.44
dev,72789061,01/11/2023,Document Text Detection Operations,asia-east1,,GCP,GCP Cloud Vision Api,,United America,Bank Tank,666.45
dev,41603388,01/11/2023,Vertex AI: AutoML Structured Data Model Training,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,669.81
dev,63014216,01/11/2023,Vertex AI: AutoML Structured Data Model Training,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,674.64
dev,71794275,01/11/2023,Document Text Detection Operations,us-central1,,GCP,GCP Cloud Vision Api,,TE Tech,Risk Regulators,696.98
dev,72789061,01/11/2023,Vertex AI: AutoML Structured Data Model Training,asia-southeast1,,GCP,GCP Vertex Ai,,United America,Bank Tank,702.64
prod,67090511,01/11/2023,Object Localization Operations,europe-west4,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,741.47
prod,59992092,01/11/2023,Document Text Detection Operations,asia-east1,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,764.91
dev,71794275,01/11/2023,Document Text Detection Operations,us-east1,,GCP,GCP Cloud Vision Api,,TE Tech,Risk Regulators,772.45
dev,41603388,01/11/2023,Vertex AI: AutoML Structured Data Model Training,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,784.83
prod,67090511,01/11/2023,Web Detection Operations,europe-north1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,787.92
dev,45812120,01/11/2023,Vertex AI: AutoML Structured Data Model Training,us-central1,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,804.61
dev,89094368,01/11/2023,Document Text Detection Operations,asia-east1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,Straight Outta Accounts,822.25
prod,67090511,01/11/2023,Web Detection Operations,europe-west1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,823.6
dev,56982163,01/11/2023,Text Detection Operations,europe-north1,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,831.1
prod,67090511,01/11/2023,Image Properties Operations,europe-west1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,832.89
prod,67090511,01/11/2023,Document Text Detection Operations,europe-west4,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,836.46
dev,87305096,01/11/2023,Vertex AI: AutoML Structured Data Model Training,europe-west1,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,894.56
dev,72789061,01/11/2023,Document Text Detection Operations,europe-west4,,GCP,GCP Cloud Vision Api,,United America,Bank Tank,902.27
dev,60611044,01/11/2023,Vertex AI: AutoML Structured Data Model Training,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,910.98
dev,73759281,01/11/2023,Vertex AI: AutoML Structured Data Model Training,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,Straight Outta Accounts,937.65
dev,60213466,01/11/2023,Vertex AI: AutoML Structured Data Model Training,us-east4,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,937.99
prod,60611044,01/11/2023,Vertex AI: AutoML Structured Data Model Training,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,945.28
dev,70359576,01/11/2023,Vertex AI: AutoML Structured Data Model Training,us-central1,,GCP,GCP Vertex Ai,,AE Tech,Yield Syndicate,955.1
dev,41603388,01/11/2023,Vertex AI: AutoML Structured Data Model Training,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,964.08
prod,63014216,01/11/2023,Vertex AI: AutoML Structured Data Model Training,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,970.2
dev,27041159,01/11/2023,Document Text Detection Operations,asia-east1,,GCP,GCP Cloud Vision Api,,United America,Excel-lent Performers,998.9
prod,67090511,01/11/2023,Document Text Detection Operations,europe-north1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,1002.83
prod,67090511,01/11/2023,Document Text Detection Operations,europe-west1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,1004.25
prod,67090511,01/11/2023,Document Text Detection Operations,us-central1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,1016.62
prod,20547104,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1028.19
dev,56982163,01/11/2023,Text Detection Operations,us-east1,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,1037.64
dev,56982163,01/11/2023,Text Detection Operations,europe-west4,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,1046.93
prod,11993525,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1054.19
prod,60611044,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1059.14
prod,67090511,01/11/2023,Text Detection Operations,europe-west4,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,1059.38
prod,63014216,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1098.7
dev,71682866,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1111.07
dev,66082951,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,AE Tech,Yield Syndicate,1125.53
dev,63014216,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1160.42
prod,20547104,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1165.84
dev,38760834,01/11/2023,Document Text Detection Operations,europe-north1,,GCP,GCP Cloud Vision Api,,United America,The Budgeters,1177.04
dev,63014216,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1180.68
dev,41603388,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1209.36
prod,67090511,01/11/2023,Web Detection Operations,us-east1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,1209.62
dev,60611044,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1245
dev,72789061,01/11/2023,Document Text Detection Operations,europe-west1,,GCP,GCP Cloud Vision Api,,United America,Bank Tank,1299.98
dev,56982163,01/11/2023,Text Detection Operations,europe-west1,,GCP,GCP Cloud Vision Api,,Treasury,Treasury Foundation,1329.25
dev,34485445,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,United America,Accounts Payabros,1331.56
dev,72789061,01/11/2023,Document Text Detection Operations,us-west1,,GCP,GCP Cloud Vision Api,,United America,Bank Tank,1336.74
prod,11993525,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1355.97
dev,87305096,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1364.34
dev,71794275,01/11/2023,Document Text Detection Operations,europe-north1,,GCP,GCP Cloud Vision Api,,TE Tech,Risk Regulators,1366.65
prod,67090511,01/11/2023,Document Text Detection Operations,asia-east1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,1367.46
prod,67090511,01/11/2023,Document Text Detection Operations,us-west1,,GCP,GCP Cloud Vision Api,,Global United Kingdon,The Ledger League,1377.36
dev,63014216,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1381.84
dev,45812120,01/11/2023,Gemini Pro Image Input - Predictions,us-east4,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1401.78
prod,38760834,01/11/2023,Document Text Detection Operations,us-east1,,GCP,GCP Cloud Vision Api,,United America,The Budgeters,1413.48
dev,41603388,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1429.19
dev,63014216,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1504.6
dev,87305096,01/11/2023,Gemini Pro Image Input - Predictions,europe-west1,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1519.51
prod,63014216,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1544.83
dev,71682866,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1556.67
dev,48347781,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1621.81
dev,99457172,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1629.83
dev,48347781,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1635.61
dev,60611044,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1646.15
dev,20547104,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1667.79
dev,63014216,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1684.78
dev,60611044,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1685.49
dev,66082951,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,AE Tech,Yield Syndicate,1707.32
dev,92465056,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,United America,Fear the Fiscal,1715.71
dev,71682866,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1775.97
dev,41603388,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1785.2
dev,48347781,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1788.88
dev,71682866,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1796.18
dev,68329476,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,Straight Outta Accounts,1807.09
dev,63014216,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1809.89
dev,20547104,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1821.4
dev,87305096,01/11/2023,Gemini Pro Image Input - Predictions,europe-west1,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1832.5
dev,87305096,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,1838.85
dev,92465056,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,United America,Fear the Fiscal,1883.85
dev,48347781,01/11/2023,Gemini Pro Image Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1954.93
dev,92465056,01/11/2023,Gemini Pro Image Input - Predictions,europe-west1,,GCP,GCP Vertex Ai,,United America,Fear the Fiscal,1965.13
dev,48347781,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,1989.13
dev,48347781,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,2025.02
dev,60611044,01/11/2023,Gemini Pro Image Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,2043.44
dev,12273010,01/11/2023,Gemini Pro Image Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,Global United Kingdon,Straight Outta Accounts,2052.15
prod,20547104,01/11/2023,PaLM Text Bison Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,2131.52
dev,66082951,01/11/2023,PaLM Text Bison Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,AE Tech,Yield Syndicate,2156.36
dev,63014216,01/11/2023,PaLM Text Bison Input - Predictions,asia-east2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,2164.98
dev,67090511,01/11/2023,PaLM Text Bison Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,2189.91
dev,45812120,01/11/2023,PaLM Text Bison Input - Predictions,us-central1,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,2192.25
dev,87305096,01/11/2023,PaLM Text Bison Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,TE Tech,Risk Regulators,2203.3
prod,20547104,01/11/2023,PaLM Text Bison Input - Predictions,europe-west2,,GCP,GCP Vertex Ai,,Global United Kingdon,The Ledger League,2219.28
